"id_drugProduct"	"id_drug"
"DRPR-000266"	"DRUG-000886"
"DRPR-000267"	"DRUG-010580"
"DRPR-000268"	"DRUG-010010"
"DRPR-000269"	"DRUG-010522"
"DRPR-000270"	"DRUG-010522"
"DRPR-000271"	"DRUG-000092"
"DRPR-000272"	"DRUG-010320"
"DRPR-000273"	"DRUG-010610"
"DRPR-000274"	"DRUG-009985"
"DRPR-000275"	"DRUG-010320"
"DRPR-000276"	"DRUG-010320"
"DRPR-000277"	"DRUG-011210"
"DRPR-000277"	"DRUG-009351"
"DRPR-000278"	"DRUG-009869"
"DRPR-000278"	"DRUG-010086"
"DRPR-000281"	"DRUG-000271"
"DRPR-000283"	"DRUG-016701"
"DRPR-000284"	
"DRPR-000285"	"DRUG-000287"
"DRPR-000286"	"DRUG-010575"
"DRPR-000286"	"DRUG-010206"
"DRPR-000287"	"DRUG-010006"
"DRPR-000287"	"DRUG-014560"
"DRPR-000288"	"DRUG-002533"
"DRPR-000288"	"DRUG-009872"
"DRPR-000288"	"DRUG-003349"
"DRPR-000289"	"DRUG-009947"
"DRPR-000290"	"DRUG-009831"
"DRPR-000291"	"DRUG-009831"
"DRPR-000292"	"DRUG-000011"
"DRPR-000293"	"DRUG-010597"
"DRPR-000294"	"DRUG-000026"
"DRPR-000295"	"DRUG-000026"
"DRPR-000296"	"DRUG-001029"
"DRPR-000297"	"DRUG-000273"
"DRPR-000298"	"DRUG-013272"
"DRPR-000299"	
"DRPR-000300"	"DRUG-010381"
"DRPR-000301"	"DRUG-010536"
"DRPR-000306"	"DRUG-000274"
"DRPR-000307"	"DRUG-003839"
"DRPR-000308"	
"DRPR-000309"	"DRUG-000321"
"DRPR-000310"	"DRUG-015384"
"DRPR-000311"	"DRUG-014251"
"DRPR-000311"	"DRUG-003651"
"DRPR-000312"	"DRUG-012309"
"DRPR-000313"	"DRUG-011471"
"DRPR-000314"	"DRUG-006654"
"DRPR-000315"	"DRUG-000568"
"DRPR-000315"	"DRUG-011210"
"DRPR-000315"	"DRUG-009351"
"DRPR-000316"	"DRUG-015305"
"DRPR-000317"	"DRUG-000162"
"DRPR-000318"	"DRUG-005365"
"DRPR-000319"	"DRUG-010471"
"DRPR-000320"	"DRUG-010829"
"DRPR-000321"	"DRUG-010830"
"DRPR-000322"	"DRUG-000106"
"DRPR-000323"	"DRUG-010314"
"DRPR-000324"	"DRUG-002430"
"DRPR-000325"	"DRUG-009896"
"DRPR-000326"	"DRUG-009265"
"DRPR-000326"	"DRUG-009944"
"DRPR-000326"	"DRUG-009962"
"DRPR-000326"	"DRUG-009658"
"DRPR-000326"	"DRUG-010604"
"DRPR-000327"	"DRUG-009265"
"DRPR-000327"	"DRUG-010665"
"DRPR-000327"	"DRUG-009944"
"DRPR-000327"	"DRUG-009570"
"DRPR-000327"	"DRUG-009658"
"DRPR-000327"	"DRUG-009571"
"DRPR-000328"	"DRUG-009250"
"DRPR-000329"	"DRUG-002600"
"DRPR-000330"	"DRUG-010564"
"DRPR-000331"	"DRUG-010564"
"DRPR-000331"	"DRUG-009811"
"DRPR-000332"	"DRUG-010324"
"DRPR-000333"	"DRUG-010324"
"DRPR-000333"	"DRUG-010589"
"DRPR-000334"	"DRUG-010565"
"DRPR-000335"	"DRUG-000279"
"DRPR-000336"	"DRUG-010324"
"DRPR-000337"	
"DRPR-000338"	
"DRPR-000339"	
"DRPR-000340"	"DRUG-007043"
"DRPR-000341"	"DRUG-004781"
"DRPR-000342"	"DRUG-000122"
"DRPR-000343"	"DRUG-012006"
"DRPR-000344"	"DRUG-011561"
"DRPR-000345"	"DRUG-005350"
"DRPR-000345"	"DRUG-014190"
"DRPR-000346"	"DRUG-000028"
"DRPR-000347"	"DRUG-000281"
"DRPR-000348"	"DRUG-010309"
"DRPR-000348"	"DRUG-010283"
"DRPR-000349"	"DRUG-009679"
"DRPR-000350"	"DRUG-017601"
"DRPR-000351"	"DRUG-009265"
"DRPR-000352"	
"DRPR-000353"	"DRUG-009683"
"DRPR-000354"	"DRUG-009683"
"DRPR-000355"	"DRUG-010188"
"DRPR-000356"	"DRUG-006640"
"DRPR-000357"	"DRUG-009301"
"DRPR-000358"	
"DRPR-000359"	"DRUG-000252"
"DRPR-000360"	"DRUG-000095"
"DRPR-000361"	
"DRPR-000362"	"DRUG-009458"
"DRPR-000363"	"DRUG-000029"
"DRPR-000364"	"DRUG-000282"
"DRPR-000365"	"DRUG-005633"
"DRPR-000366"	"DRUG-000460"
"DRPR-000367"	"DRUG-000210"
"DRPR-000368"	"DRUG-016493"
"DRPR-000369"	"DRUG-014155"
"DRPR-000370"	"DRUG-009689"
"DRPR-000371"	"DRUG-009838"
"DRPR-000371"	"DRUG-010231"
"DRPR-000372"	"DRUG-010437"
"DRPR-000373"	"DRUG-011954"
"DRPR-000374"	"DRUG-009960"
"DRPR-000375"	
"DRPR-000376"	"DRUG-010373"
"DRPR-000377"	"DRUG-010373"
"DRPR-000378"	"DRUG-010373"
"DRPR-000379"	"DRUG-010380"
"DRPR-000380"	"DRUG-010380"
"DRPR-000381"	"DRUG-000287"
"DRPR-000382"	
"DRPR-000383"	"DRUG-016353"
"DRPR-000384"	"DRUG-010373"
"DRPR-000385"	"DRUG-000271"
"DRPR-000386"	"DRUG-000271"
"DRPR-000387"	"DRUG-000029"
"DRPR-000388"	"DRUG-010186"
"DRPR-000388"	"DRUG-012011"
"DRPR-000388"	"DRUG-010484"
"DRPR-000389"	"DRUG-009712"
"DRPR-000390"	"DRUG-009223"
"DRPR-000391"	"DRUG-009223"
"DRPR-000392"	"DRUG-009236"
"DRPR-000393"	
"DRPR-000394"	
"DRPR-000395"	"DRUG-009274"
"DRPR-000396"	"DRUG-009274"
"DRPR-000397"	"DRUG-009274"
"DRPR-000398"	"DRUG-010838"
"DRPR-000399"	"DRUG-010838"
"DRPR-000400"	"DRUG-000838"
"DRPR-000401"	"DRUG-010330"
"DRPR-000402"	"DRUG-010331"
"DRPR-000403"	"DRUG-009276"
"DRPR-000404"	"DRUG-010567"
"DRPR-000405"	"DRUG-010567"
"DRPR-000406"	"DRUG-010335"
"DRPR-000407"	"DRUG-006316"
"DRPR-000408"	"DRUG-006316"
"DRPR-000409"	"DRUG-006316"
"DRPR-000410"	"DRUG-006316"
"DRPR-000411"	"DRUG-010822"
"DRPR-000411"	"DRUG-014465"
"DRPR-000412"	"DRUG-010343"
"DRPR-000413"	"DRUG-002624"
"DRPR-000414"	"DRUG-009921"
"DRPR-000415"	"DRUG-009469"
"DRPR-000416"	"DRUG-009695"
"DRPR-000417"	"DRUG-009784"
"DRPR-000418"	"DRUG-017843"
"DRPR-000419"	"DRUG-011220"
"DRPR-000420"	
"DRPR-000421"	"DRUG-011315"
"DRPR-000422"	"DRUG-010655"
"DRPR-000423"	"DRUG-010374"
"DRPR-000424"	"DRUG-000119"
"DRPR-000425"	"DRUG-000034"
"DRPR-000426"	"DRUG-008866"
"DRPR-000427"	
"DRPR-000428"	
"DRPR-000429"	"DRUG-010560"
"DRPR-000429"	"DRUG-009842"
"DRPR-000430"	"DRUG-010337"
"DRPR-000431"	"DRUG-017461"
"DRPR-000432"	"DRUG-014927"
"DRPR-000433"	
"DRPR-000434"	
"DRPR-000435"	
"DRPR-000436"	"DRUG-009977"
"DRPR-000437"	"DRUG-005131"
"DRPR-000438"	"DRUG-000034"
"DRPR-000439"	"DRUG-000097"
"DRPR-000439"	"DRUG-009981"
"DRPR-000440"	"DRUG-012006"
"DRPR-000441"	"DRUG-015474"
"DRPR-000442"	"DRUG-003005"
"DRPR-000443"	"DRUG-000018"
"DRPR-000444"	"DRUG-000034"
"DRPR-000445"	"DRUG-000034"
"DRPR-000445"	"DRUG-010186"
"DRPR-000446"	"DRUG-000034"
"DRPR-000446"	"DRUG-000034"
"DRPR-000447"	"DRUG-000034"
"DRPR-000447"	"DRUG-000049"
"DRPR-000448"	
"DRPR-000449"	"DRUG-000293"
"DRPR-000450"	"DRUG-000293"
"DRPR-000451"	"DRUG-010343"
"DRPR-000452"	"DRUG-010343"
"DRPR-000453"	"DRUG-010343"
"DRPR-000454"	"DRUG-009811"
"DRPR-000454"	"DRUG-009949"
"DRPR-000455"	"DRUG-009858"
"DRPR-000456"	"DRUG-009858"
"DRPR-000457"	"DRUG-009858"
"DRPR-000457"	"DRUG-010499"
"DRPR-000458"	"DRUG-009846"
"DRPR-000458"	"DRUG-009456"
"DRPR-000458"	"DRUG-012899"
"DRPR-000459"	"DRUG-009709"
"DRPR-000460"	"DRUG-009709"
"DRPR-000461"	"DRUG-009709"
"DRPR-000462"	"DRUG-009709"
"DRPR-000463"	"DRUG-012389"
"DRPR-000464"	"DRUG-010006"
"DRPR-000465"	"DRUG-010006"
"DRPR-000465"	"DRUG-009910"
"DRPR-000466"	"DRUG-010006"
"DRPR-000466"	"DRUG-009910"
"DRPR-000467"	"DRUG-009709"
"DRPR-000468"	"DRUG-009709"
"DRPR-000469"	"DRUG-009709"
"DRPR-000470"	
"DRPR-000471"	"DRUG-009265"
"DRPR-000471"	"DRUG-009519"
"DRPR-000471"	"DRUG-009962"
"DRPR-000471"	"DRUG-009658"
"DRPR-000472"	
"DRPR-000473"	"DRUG-009285"
"DRPR-000474"	"DRUG-009285"
"DRPR-000475"	"DRUG-009847"
"DRPR-000476"	"DRUG-000295"
"DRPR-000477"	"DRUG-000295"
"DRPR-000478"	"DRUG-012243"
"DRPR-000479"	"DRUG-009286"
"DRPR-000480"	"DRUG-009286"
"DRPR-000481"	"DRUG-012588"
"DRPR-000481"	"DRUG-015755"
"DRPR-000482"	"DRUG-009740"
"DRPR-000483"	"DRUG-010817"
"DRPR-000484"	"DRUG-009742"
"DRPR-000485"	"DRUG-009742"
"DRPR-000486"	"DRUG-015754"
"DRPR-000487"	"DRUG-012390"
"DRPR-000488"	"DRUG-010869"
"DRPR-000488"	"DRUG-010409"
"DRPR-000488"	"DRUG-012011"
"DRPR-000489"	"DRUG-009944"
"DRPR-000489"	"DRUG-009570"
"DRPR-000489"	"DRUG-009658"
"DRPR-000489"	"DRUG-010025"
"DRPR-000490"	"DRUG-010828"
"DRPR-000490"	"DRUG-009985"
"DRPR-000491"	"DRUG-010006"
"DRPR-000491"	"DRUG-010591"
"DRPR-000492"	"DRUG-008680"
"DRPR-000492"	"DRUG-010413"
"DRPR-000493"	"DRUG-000097"
"DRPR-000493"	"DRUG-000471"
"DRPR-000494"	"DRUG-000281"
"DRPR-000495"	"DRUG-009872"
"DRPR-000495"	"DRUG-003026"
"DRPR-000495"	"DRUG-009981"
"DRPR-000496"	"DRUG-010385"
"DRPR-000497"	"DRUG-010582"
"DRPR-000498"	"DRUG-009516"
"DRPR-000499"	"DRUG-006962"
"DRPR-000500"	
"DRPR-000501"	"DRUG-010565"
"DRPR-000501"	"DRUG-010590"
"DRPR-000502"	"DRUG-009595"
"DRPR-000503"	"DRUG-016870"
"DRPR-000504"	"DRUG-000317"
"DRPR-000505"	"DRUG-009890"
"DRPR-000506"	"DRUG-009269"
"DRPR-000507"	"DRUG-009269"
"DRPR-000508"	"DRUG-009474"
"DRPR-000509"	"DRUG-002797"
"DRPR-000510"	"DRUG-010395"
"DRPR-000511"	"DRUG-009810"
"DRPR-000512"	"DRUG-010186"
"DRPR-000513"	"DRUG-010186"
"DRPR-000514"	
"DRPR-000515"	"DRUG-012273"
"DRPR-000516"	
"DRPR-000517"	"DRUG-003121"
"DRPR-000518"	"DRUG-000206"
"DRPR-000519"	"DRUG-010571"
"DRPR-000519"	"DRUG-009985"
"DRPR-000520"	"DRUG-010571"
"DRPR-000520"	"DRUG-009985"
"DRPR-000521"	"DRUG-005083"
"DRPR-000522"	"DRUG-010582"
"DRPR-000523"	"DRUG-011948"
"DRPR-000524"	
"DRPR-000525"	"DRUG-002396"
"DRPR-000526"	"DRUG-011796"
"DRPR-000527"	"DRUG-014560"
"DRPR-000528"	"DRUG-010350"
"DRPR-000529"	"DRUG-001384"
"DRPR-000530"	"DRUG-009855"
"DRPR-000531"	"DRUG-012500"
"DRPR-000532"	"DRUG-015611"
"DRPR-000533"	"DRUG-009351"
"DRPR-000534"	
"DRPR-000535"	
"DRPR-000536"	
"DRPR-000537"	"DRUG-009859"
"DRPR-000537"	"DRUG-010086"
"DRPR-000540"	"DRUG-000299"
"DRPR-000541"	"DRUG-010563"
"DRPR-000542"	"DRUG-009784"
"DRPR-000543"	"DRUG-009990"
"DRPR-000544"	"DRUG-010799"
"DRPR-000545"	"DRUG-010984"
"DRPR-000546"	"DRUG-010354"
"DRPR-000547"	"DRUG-000415"
"DRPR-000548"	
"DRPR-000549"	"DRUG-005391"
"DRPR-000550"	"DRUG-010355"
"DRPR-000551"	"DRUG-005391"
"DRPR-000552"	
"DRPR-000553"	
"DRPR-000554"	
"DRPR-000555"	"DRUG-000300"
"DRPR-000556"	"DRUG-017169"
"DRPR-000557"	"DRUG-002082"
"DRPR-000558"	"DRUG-000299"
"DRPR-000559"	"DRUG-000308"
"DRPR-000560"	"DRUG-014160"
"DRPR-000561"	
"DRPR-000562"	"DRUG-010356"
"DRPR-000563"	"DRUG-001642"
"DRPR-000564"	"DRUG-000045"
"DRPR-000565"	"DRUG-009855"
"DRPR-000566"	"DRUG-009855"
"DRPR-000567"	"DRUG-009855"
"DRPR-000568"	"DRUG-009855"
"DRPR-000569"	"DRUG-014949"
"DRPR-000570"	"DRUG-009351"
"DRPR-000571"	"DRUG-000304"
"DRPR-000572"	"DRUG-000304"
"DRPR-000572"	"DRUG-016786"
"DRPR-000573"	"DRUG-015316"
"DRPR-000574"	"DRUG-004028"
"DRPR-000575"	
"DRPR-000576"	"DRUG-009491"
"DRPR-000577"	"DRUG-010582"
"DRPR-000578"	"DRUG-004624"
"DRPR-000579"	"DRUG-000048"
"DRPR-000580"	"DRUG-000308"
"DRPR-000581"	
"DRPR-000582"	
"DRPR-000583"	"DRUG-000046"
"DRPR-000584"	"DRUG-000832"
"DRPR-000585"	"DRUG-009265"
"DRPR-000585"	"DRUG-009658"
"DRPR-000585"	"DRUG-009967"
"DRPR-000586"	"DRUG-009265"
"DRPR-000586"	"DRUG-009658"
"DRPR-000586"	"DRUG-009967"
"DRPR-000587"	"DRUG-006153"
"DRPR-000587"	"DRUG-000097"
"DRPR-000587"	"DRUG-009981"
"DRPR-000588"	"DRUG-009458"
"DRPR-000589"	"DRUG-012132"
"DRPR-000590"	"DRUG-011659"
"DRPR-000591"	"DRUG-009308"
"DRPR-000592"	"DRUG-009308"
"DRPR-000593"	"DRUG-009308"
"DRPR-000594"	"DRUG-009308"
"DRPR-000595"	"DRUG-010020"
"DRPR-000596"	"DRUG-010023"
"DRPR-000597"	"DRUG-001081"
"DRPR-000598"	"DRUG-001081"
"DRPR-000599"	"DRUG-001726"
"DRPR-000600"	"DRUG-009337"
"DRPR-000601"	"DRUG-009872"
"DRPR-000601"	"DRUG-003349"
"DRPR-000602"	
"DRPR-000603"	"DRUG-009859"
"DRPR-000603"	"DRUG-010086"
"DRPR-000604"	"DRUG-010443"
"DRPR-000605"	"DRUG-010361"
"DRPR-000606"	
"DRPR-000607"	"DRUG-010611"
"DRPR-000608"	"DRUG-010611"
"DRPR-000609"	"DRUG-014249"
"DRPR-000610"	"DRUG-014249"
"DRPR-000611"	"DRUG-009298"
"DRPR-000612"	"DRUG-012747"
"DRPR-000613"	"DRUG-012747"
"DRPR-000614"	"DRUG-009861"
"DRPR-000615"	"DRUG-000049"
"DRPR-000616"	"DRUG-010561"
"DRPR-000616"	"DRUG-010561"
"DRPR-000616"	"DRUG-009298"
"DRPR-000616"	"DRUG-009298"
"DRPR-000617"	"DRUG-009298"
"DRPR-000630"	"DRUG-000049"
"DRPR-000631"	"DRUG-009838"
"DRPR-000631"	"DRUG-010231"
"DRPR-000632"	"DRUG-009349"
"DRPR-000633"	"DRUG-003230"
"DRPR-000634"	"DRUG-009265"
"DRPR-000634"	"DRUG-009658"
"DRPR-000634"	"DRUG-009967"
"DRPR-000635"	"DRUG-009299"
"DRPR-000636"	"DRUG-010595"
