"id"	"name"	"domain"	"basket"	"subbasket"	"targetFamily"	"chemStructure"	"comment"
"DCLA-000122"	"DDR inhibitor"	"antineoplastic"	"tk"		"DDR"	"small molecule"	
"DCLA-000031"	"EGFR inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000032"	"EGFR T790M inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000132"	"ERBB2 inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000133"	"ERBB3 inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000134"	"ERBB4 inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000026"	"FGFR inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	"inhibiting FGFR (maybe not all of the receptors)"
"DCLA-000025"	"FGFR1 inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	
"DCLA-000027"	"FGFR2 inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	
"DCLA-000028"	"FGFR3 inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	
"DCLA-000029"	"FGFR4 inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	
"DCLA-000138"	"FLT3 inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000262"	"IGF-1R inhibitor"	"antineoplastic"	"tk"		"IGF"	"small molecule"	
"DCLA-000157"	"IGFR inhibitor"	"antineoplastic"	"tk"		"IGF"	"small molecule"	
"DCLA-000160"	"ITK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000255"	"JAK1 inhibitor"	"antineoplastic"	"tk"		"JAK"	"small molecule"	
"DCLA-000161"	"JAK1/JAK2 inhibitor"	"antineoplastic"	"tk"		"JAK"	"small molecule"	
"DCLA-000254"	"JAK2 inhibitor"	"antineoplastic"	"tk"		"JAK"	"small molecule"	
"DCLA-000259"	"JAK3 inhibitor"	"antineoplastic"	"tk"		"JAK"	"small molecule"	
"DCLA-000033"	"KIT inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000162"	"KSP inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000010"	"MET inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000011"	"MET inhibitor (for exon 14 skipping mutation)"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000001"	"Multi kinase inhibitor"	"antineoplastic"	"tk"		"multiple kinases"	"small molecule"	"inhibiting activity of many RTKes"
"DCLA-000003"	"NTRK inhibitor"	"antineoplastic"	"tk"		"NTRK"	"small molecule"	
"DCLA-000017"	"panERBB inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000030"	"panFGFR inhibitor"	"antineoplastic"	"tk"		"FGFR"	"small molecule"	"inhibiting FGFR1-4"
"DCLA-000179"	"panPDGFR inhibitor"	"antineoplastic"	"tk"		"PDGFR"	"small molecule"	
"DCLA-000192"	"PTK2 inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000199"	"RAF1 inhibitor"	"antineoplastic"	"tk"		"RAF"	"small molecule"	
"DCLA-000002"	"RET inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000201"	"ROS1 inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000206"	"SRC inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000210"	"SYK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000212"	"TEC inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000213"	"TEK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000224"	"TXK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000227"	"VEGFR inhibitor"	"antineoplastic"	"tk"		"VEGFR"	"small molecule"	
"DCLA-000018"	"BRAF inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAF"	"small molecule"	
"DCLA-000019"	"BRAF V600E inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAF"	"small molecule"	
"DCLA-000137"	"Farnesyltransferase inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAS"	"small molecule"	
"DCLA-000015"	"KRAS G12C inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAS"	"small molecule"	
"DCLA-000361"	"KRAS G12D inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAS"	"small molecule"	
"DCLA-000257"	"KRAS mimetic inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAS"	"small molecule"	
"DCLA-000163"	"MAP2K1 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"MEK"	"small molecule"	
"DCLA-000164"	"MAP2K2 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"MEK"	"small molecule"	
"DCLA-000165"	"MAP2K4 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"MEK"	"small molecule"	
"DCLA-000166"	"MAP3K20 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"			"small molecule"	
"DCLA-000167"	"MAP4K5 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"			"small molecule"	
"DCLA-000014"	"MEK inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"MEK"	"small molecule"	
"DCLA-000016"	"panRAF inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"RAF"	"small molecule"	
"DCLA-000267"	"SHP2 inhibitor"	"antineoplastic"	"ras-raf-mek-erk"		"SHP2"	"small molecule"	
"DCLA-000176"	"ATR inhibitor"	"antineoplastic"	"DNA damage repair"		"ATR"	"small molecule"	
"DCLA-000249"	"KIF18A Inhibitor"	"antineoplastic"	"DNA damage repair"			"small molecule"	
"DCLA-000175"	"PARP inhibitor"	"antineoplastic"	"DNA damage repair"		"PARP"	"small molecule"	
"DCLA-000251"	"NOTCH1 antibody"	"antineoplastic"	"developmental pathway"			"antibody"	
"DCLA-000252"	"NOTCH2/NOTCH3 antibody"	"antineoplastic"	"developmental pathway"			"antibody"	
"DCLA-000273"	"panNotch inhibitor"	"antineoplastic"	"developmental pathway"			"small molecule"	
"DCLA-000148"	"Hedgehog pathway inhibitor"	"antineoplastic"	"developmental pathway"			"small molecule"	
"DCLA-000204"	"SMO inhibitor"	"antineoplastic"	"developmental pathway"			"small molecule"	
"DCLA-000265"	"TBL1 inhibitor"	"antineoplastic"	"developmental pathway"	"WNT pathway inhibitor"		"small molecule"	
"DCLA-000271"	"Porcupine inhibitor"	"antineoplastic"	"developmental pathway"	"WNT pathway inhibitor"		"small molecule"	
"DCLA-000266"	"YAP1/TEAD interaction inhibitor"	"antineoplastic"	"developmental pathway"	"HIPO pathway inhibitor"		"small molecule"	
"DCLA-000286"	"A2AR inhibitor"	"antineoplastic"	"immune response"	"checkpoint inhibitor"		"small molecule"	
"DCLA-000024"	"Checkpoint inhibitor"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000222"	"B7-H3 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000042"	"CCR4 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000237"	"CD47 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000268"	"CD47/MSLN antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule#tumor-differentiation antigen"	"bispecific antibody"	
"DCLA-000209"	"Steroidal androgen receptor inhibitor"	"(anti)hormonal"					
"DCLA-000234"	"CD73 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000348"	"CD73 inhibitor"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"small molecule"	
"DCLA-000055"	"CTLA4 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000006"	"LAG3 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000079"	"PD-1 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000080"	"PD-L1 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000278"	"PD-L1/CD137 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"bispecific antibody"	
"DCLA-000279"	"PD-L1/CD137/HSA antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"trispecific antibody"	
"DCLA-000235"	"PD-L1/TGF-Beta antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule#TGF-beta"	"bispecific antibody"	
"DCLA-000277"	"PD-L1/TIM-3 antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"bispecific antibody"	
"DCLA-000276"	"PD-L1 radioimmunoconjugate"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody-radio-conjugate"	
"DCLA-000238"	"TIGIT antibody"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"antibody"	
"DCLA-000236"	"TLR9 agonist"	"antineoplastic"	"immune response"		"immune checkpoint molecule"	"chemical"	
"DCLA-000066"	"IFNg antibody"	"antineoplastic"	"immune response"		"IFN"	"antibody"	
"DCLA-000068"	"IL-5 antibody"	"antineoplastic"	"immune response"		"IL"	"antibody"	
"DCLA-000069"	"IL-6 antibody"	"antineoplastic"	"immune response"		"IL"	"antibody"	
"DCLA-000070"	"IL-6R antibody"	"antineoplastic"	"immune response"		"IL"	"antibody"	
"DCLA-000159"	"Interferon"	"antineoplastic"	"immune response"			"hormone"	
"DCLA-000123"	"Dendritic cell vaccine"	"antineoplastic"	"immune response"	"vaccination"		"vaccine"	
"DCLA-000172"	"Oncolytic viral therapy"	"antineoplastic"	"immune response"	"vaccination"		"viral"	
"DCLA-000220"	"Tumor vaccine"	"antineoplastic"	"immune response"	"vaccination"		"vaccine"	
"DCLA-000343"	"Telomerase vaccine"	"antineoplastic"	"immune response"	"vaccination"		"vaccine"	
"DCLA-000221"	"Soluble LAG3-3Ig"	"antineoplastic"	"immune response"	"APC activation"	"MHC class II"	"large molecule"	
"DCLA-000275"	"MAGEA1 eTCR therapy"	"antineoplastic"	"immune response"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000281"	"MAGEA3/A6 eTCR therapy"	"antineoplastic"	"immune response"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000280"	"MAGEA4 eTCR therapy"	"antineoplastic"	"immune response"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000345"	"CLDN6 CAR-T"	"antineoplastic"	"immune response"	"CAR-T"		"CAR-T"	
"DCLA-000347"	"CLDN6/CD3 antibody"	"antineoplastic"	"immune response"	"BiTE"		"BiTE antibody"	
"DCLA-000282"	"MET CAR-T therapy"	"antineoplastic"	"immune response"			"CAR-T"	
"DCLA-000344"	"CLDN6 antibody"	"antineoplastic"	"immune response"			"antibody"	
"DCLA-000346"	"CLDN6/CD3 antibody mRNA"	"antineoplastic"	"immune response"			"BiTE mRNA"	
"DCLA-000349"	"CD73/TGF Beta antibody"	"antineoplastic"	"immune response"			"bispecific antibody"	
"DCLA-000108"	"BCL2 inhibitor"	"antineoplastic"	"cell cycle"			"small molecule"	
"DCLA-000115"	"CDK inhibitor"	"antineoplastic"	"cell cycle"		"CDK"	"small molecule"	
"DCLA-000007"	"CDK4/6 inhibitor"	"antineoplastic"	"cell cycle"		"CDK"	"small molecule"	
"DCLA-000005"	"MDM2 inhibitor"	"antineoplastic"	"cell cycle"		"MDM"	"small molecule"	
"DCLA-000188"	"PLK1 inhibitor"	"antineoplastic"	"cell cycle"			"small molecule"	
"DCLA-000350"	"TP53 activator"	"antineoplastic"	"cell cycle"			"small molecule"	
"DCLA-000351"	"TP53 Y220C activator"	"antineoplastic"	"cell cycle"			"small molecule"	
"DCLA-000189"	"WEE1 inhibitor"	"antineoplastic"	"cell cycle"			"small molecule"	
"DCLA-000106"	"Aurora kinase A inhibitor"	"antineoplastic"	"other function"		"AURK"	"small molecule"	
"DCLA-000152"	"Aurora kinase B inhibitor"	"antineoplastic"	"other function"		"AURK"	"small molecule"	
"DCLA-000105"	"Aurora kinase inhibitor"	"antineoplastic"	"other function"		"AURK"	"small molecule"	
"DCLA-000013"	"BET inhibitor"	"antineoplastic"	"other function"		"BET"	"small molecule"	
"DCLA-000012"	"BRD4 inhibitor"	"antineoplastic"	"other function"		"BET"	"small molecule"	
"DCLA-000151"	"Hsp90 inhibitor"	"antineoplastic"	"other function"		"HSP"	"small molecule"	
"DCLA-000153"	"IDH inhibitor"	"antineoplastic"	"other function"		"IDH"	"small molecule"	
"DCLA-000155"	"IDH1 inhibitor"	"antineoplastic"	"other function"		"IDH"	"small molecule"	
"DCLA-000156"	"IDH2 inhibitor"	"antineoplastic"	"other function"		"IDH"	"small molecule"	
"DCLA-000243"	"MCL1 inhibitor"	"antineoplastic"	"other function"			"small molecule"	
"DCLA-000244"	"PRMT5 inhibitor"	"antineoplastic"	"other function"		"PRMT"	"small molecule"	
"DCLA-000128"	"DNA methyltransferase inhibitor"	"antineoplastic"	"epigenetic modulation"			"chemical"	
"DCLA-000147"	"EZH2 inhibitor"	"antineoplastic"	"epigenetic modulation"			"small molecule"	
"DCLA-000146"	"HDAC inhibitor"	"antineoplastic"	"epigenetic modulation"			"small molecule"	
"DCLA-000191"	"Autophagy inhibitor"	"antineoplastic"	"metabolic control"				
"DCLA-000190"	"Proteasome inhibitor"	"antineoplastic"	"metabolic control"				
"DCLA-000045"	"CD20 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000052"	"CD38 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000053"	"CD52 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000250"	"CLDN18.2 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000264"	"DLL4 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000261"	"FOLR1 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000072"	"mesothelin antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000260"	"MUC16 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000084"	"SLAMF7 antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000248"	"STEAP1/CD3 bispecific antibody"	"antineoplastic"	"targeted immune-mediated ablation"			"bispecific antibody"	
"DCLA-000101"	"Antithymocyte globulin"	"antineoplastic"	"targeted immune-mediated ablation"			"antibody"	
"DCLA-000287"	"PRAME eTCR T-cells"	"antineoplastic"	"targeted immune-mediated ablation"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000289"	"Survivin eTCR T-cells"	"antineoplastic"	"targeted immune-mediated ablation"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000288"	"WT1 eTCR T-cells"	"antineoplastic"	"targeted immune-mediated ablation"	"eTCR T-cells"		"eTCR T-cells"	
"DCLA-000223"	"PMEL soluble bispecific eTCR"	"antineoplastic"	"targeted immune-mediated ablation"	"eTCR T-cells"		"soluble bispecific eTCR"	
"DCLA-000290"	"PRAME soluble bispecific eTCR"	"antineoplastic"	"targeted immune-mediated ablation"	"eTCR T-cells"		"soluble bispecific eTCR"	
"DCLA-000048"	"CD3/CD19 BiTE "	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000274"	"CLDN18.2 BiTE"	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000241"	"DLL3 BiTE"	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000247"	"FLT3 BiTE"	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000245"	"MUC17/CD3 BiTE Antibody"	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000239"	"PSMA BiTE"	"antineoplastic"	"BiTE"			"BiTE antibody"	
"DCLA-000242"	"DLL3 CAR-T"	"antineoplastic"	"CAR-T"			"CAR-T"	
"DCLA-000197"	"PSMA-binding radio conjugate"	"antineoplastic"	"targeted irradiation"			"radio-conjugate"	
"DCLA-000196"	"SSTR2-binding radio conjugate"	"antineoplastic"	"targeted irradiation"		"SSTR"	"radio-conjugate"	
"DCLA-000198"	"SSTR3-binding radio conjugate"	"antineoplastic"	"targeted irradiation"		"SSTR"	"radio-conjugate"	
"DCLA-000246"	"PD-1/IL21-mutein BFFP"	"antineoplastic"	"targeted immune pathway activation"			"Bifunctional Fusion Protein"	
"DCLA-000087"	"CDH17/TRAIL bispecific antibody"	"antineoplastic"	"targeted apoptose"			"bispecific antibody"	
"DCLA-000085"	"TRAIL-R1 antibody"	"antineoplastic"	"targeted apoptose"			"antibody"	
"DCLA-000086"	"TRAIL-R2 antibody"	"antineoplastic"	"targeted apoptose"			"antibody"	
"DCLA-000302"	"AXL ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000285"	"BCMA ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000300"	"CD19 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000301"	"CD22 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000294"	"CD228 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000312"	"CD276 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000049"	"CD30 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000050"	"CD33 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000304"	"CD37 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000305"	"CD38 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000306"	"CD46 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000308"	"CD47 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000309"	"CD48 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000303"	"CD7 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000310"	"CD70 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000311"	"CD74 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000313"	"CDH6 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000314"	"CEACAM5 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000298"	"CLDN18.2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000299"	"CLDN6 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000315"	"CLEC12A ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000233"	"DLL3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000319"	"DPEP3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000318"	"EDNRB ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000291"	"EGFR ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000316"	"ENPP3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000317"	"F3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000320"	"FCRL5 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000321"	"FGFR2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000322"	"FGFR3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000323"	"FLT3 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000074"	"FOLR1 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000324"	"GPNMB ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000325"	"GUCY2C ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000076"	"HER2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000326"	"HAVCR1 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000283"	"MET ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000327"	"IL2RA ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000329"	"IL3RA ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000330"	"ITGB6 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000331"	"LRRC15 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000332"	"LY6E ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000333"	"LY75 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000073"	"MSLN ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000284"	"MUC16 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000075"	"NECTIN4 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000334"	"PTK7 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000335"	"RNF43 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000295"	"ROR1 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000296"	"ROR2 ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000077"	"TF ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
"DCLA-000339"	"TFRC ADC"	"antineoplastic"	"targeted chemo"	"ADC"		"antibody drug conjugate"	
