"id"	"linked__id"	"status"	"name"	"synonyms"	"usage"	"symbols_drugTarget"	"id@ncit"	"def@ncit"	"codes_atc"
"DRUG-002863"		"curated"	"AMG 119"	"AMG 119#AMG 119 CAR-T Cells#AMG-119#AMG119#CAR-T Cells AMG 119"	"clinical"	"DLL3"	"C150586"	"A preparation of T-lymphocytes that are genetically engineered to express a chimeric antigen receptor (CAR) that targets an as of yet unidentified tumor-associated antigen (TAA), with potential immunomodulatory and antineoplastic activities. Upon administration of the CAR T-cells AMG 119, the T-cells target, bind to and induce selective cytotoxicity in tumor cells expressing the TAA."	
"DRUG-008411"		"curated"	"AMG 193"	"AMG 193#AMG-193#AMG193#Protein Arginine Methyltransferase 5 Inhibitor AMG 193"	"clinical"	"PRMT5"	"C185417"	"An orally available small molecule inhibitor of protein arginine methyltransferase 5 (PRMT5), with potential antiproliferative and antineoplastic activities. Upon oral administration, PRMT5 inhibitor AMG 193 selectively binds to PRMT5 and inhibits its function. By inhibiting its methyltransferase activity, levels of both monomethylated and dimethylated arginine residues in histones H2A, H3 and H4 are decreased. This modulates the expression of genes involved in several cellular processes, including cellular proliferation. This may increase the expression of antiproliferative genes and/or decrease the expression of genes that promote cell proliferation, which may lead to decreased growth of rapidly proliferating cells, including cancer cells. PRMT5, a type II methyltransferase that catalyzes the formation of both omega-N monomethylarginine (MMA) and symmetric dimethylarginine (sDMA) on histones and a variety of other protein substrates involved in signal transduction and cellular transcription, is overexpressed in several neoplasms. Elevated levels are associated with decreased patient survival. Methylthioadenosine phosphorylase (MTAP) is deleted in certain cancer cells leading to an accumulation of methylthioadenosine (MTA). As MTA inhibits PRMT5, MTAP-null cancer cells are specifically sensitive to PRMT5 inhibitors."	
"DRUG-004561"		"curated"	"AMG 199"	"AMG 199#AMG199#Anti-MUC17 x Anti-CD3 BiTE AMG 199#Anti-MUC17/CD3 Bispecific Antibody AMG 199#Bispecific T-cell Engager Antibody AMG 199#BiTE Antibody AMG 199#MUC17/CD3-directed Bispecific T-cell Engager Antibody AMG 199#MUC17xCD3 Bispecific T-cell Engager AMG 199"	"clinical"	"MUC17"	"C165588"	"A half-life extended (HLE), human bispecific T-cell engager (BiTE) antibody composed of two single-chain variable fragments (scFv), one directed against the tumor-associated antigen (TAA) human mucin 17 (MUC17), and one directed against human CD3, a T-cell surface antigen found on T-lymphocytes, with potential antineoplastic activity. Upon administration, anti-MUC17/CD3 BiTE antibody AMG 199 binds to both CD3 on T-cells and MUC17 expressed on tumor cells. This results in the cross-linking of T-cells and tumor cells, and induces a potent cytotoxic T-lymphocyte (CTL) response against MUC17-expressing tumor cells. MUC17, a member of the mucin family of glycoproteins, is overexpressed in a variety of tumor cells of epithelial origin and plays a key role in tumor cell dissemination."	
"DRUG-004346"		"curated"	"AMG 224"	"AMG 224#AMG-224#AMG224#Anti-BCMA Antibody-drug Conjugate AMG 224"	"clinical"	"TNFRSF17"	"C162528"	"An antibody-drug conjugate (ADC) comprised of an anti-human B-cell maturation antigen (BCMA) immunoglobulin G1 (IgG1) antibody conjugated via the noncleavable linker 4-(N-maleimidomethyl) cyclohexane-1-carboxylate (MCC), to the cytotoxic maytansine-derivative, DM1, with potential antineoplastic activity. Upon administration, the monoclonal antibody moiety of AMG 224 selectively binds to BCMA expressed on the surface of tumor cells. Upon internalization, the DM1 moiety binds to tubulin, thereby disrupting microtubule assembly/disassembly dynamics and inhibiting both cell division and proliferation of tumor cells that express BCMA. BCMA, a receptor for a proliferation-inducing ligand (APRIL) and B-cell activating factor (BAFF), is a member of the tumor necrosis factor (TNF) receptor superfamily (TNFRSF)and plays a key role in plasma cell survival; it is found on the surfaces of plasma cells and overexpressed on malignant plasma cells."	
"DRUG-017672"		"curated"	"AMG 337"	"AMG 337#AMG-337#AMG337"	"clinical"	"MET"	"C95203"	"An orally bioavailable inhibitor of the proto-oncogene c-Met with potential antineoplastic activity. c-Met inhibitor AMG 337 selectively binds to c-Met, thereby disrupting c-Met signal transduction pathways. This may induce cell death in tumor cells overexpressing c-Met protein or expressing constitutively activated c-Met protein. c-Met protein, the product of the proto-oncogene c-Met, is a receptor tyrosine kinase also known as hepatocyte growth factor receptor (HGFR); this protein is overexpressed or mutated in many tumor cell types and plays key roles in tumor cell proliferation, survival, invasion, and metastasis, and tumor angiogenesis."	
"DRUG-005246"		"curated"	"AMG 509"	"AMG 509#AMG-509#AMG509"	"clinical"	"STEAP1#CD3D#CD3E#CD3G"	"C168580"	"A bispecific antibody that simultaneously binds to two different and as of yet undisclosed antigens, with potential immunomodulating and antineoplastic activities. Upon administration, AMG 509 targets and binds to the two antigens. This may modulate the tumor microenvironment (TME) and may enhance an immune-mediated antitumor response."	
"DRUG-008045"		"curated"	"AMG 650"	"AMG 650#AMG-650#AMG650"	"clinical"	"KIF18A"	"C181039"	"An orally bioavailable, small-molecule inhibitor of the human kinesin-like protein KIF18A, with potential antineoplastic activity. Upon oral administration, KIF18A inhibitor AMG 650 selectively inhibits the activity of KIF18A. This may result in multipolar cell division and inhibit tumor cell proliferation. KIF18A, a mitotic kinesin-8 motor protein, plays an important role in the regulation of chromosome positioning during cell division and is overexpressed in certain cancers. Certain cancer cells with chromosomal instability (CIN) features depend on KIF18A activity for bipolar spindle integrity and cell proliferation."	
"DRUG-036183"		"curated"	"AMG794"	"Anti-CLDN6/CD3 BiTE Antibody AMG 794#AMG 794#AMG-794#AMG794#CLDN6/CD3 Bispecific T-cell Engager AMG 794#CLDN6xCD3 Bispecific T-cell Engager AMG 794"	"clinical"	"CLDN6"	"C187347"	"A half-life extended (HLE) human bispecific T-cell engager (BiTE) antibody targeting the CD3 antigen expressed on T-lymphocytes and the cell surface protein claudin 6 (CLDN6; CLDN-6), with potential immunostimulating and antineoplastic activities. Upon intravenous administration, anti-CLDN6/CD3 BiTE antibody AMG 794 targets and binds to both CD3 expressed on T-cells and CLDN6 expressed on tumor cells. This activates and redirects cytotoxic T-lymphocytes (CTLs) to CLDN6-expressing tumor cells, produces cytokines and leads to enhanced CTL-mediated elimination of CLDN6-expressing tumor cells. CLDN6, a tight-junction protein and embryonic antigen, is expressed on a variety of tumor cells but is not expressed on normal, healthy adult cells."	
"DRUG-036150"		"curated"	"AN4005"	"AN 4005#AN-4005#AN4005"	"clinical"	"CD274"	"C187159"	"An orally available, small molecule inhibitor of the immunosuppressive ligand programmed cell death-1 ligand 1 (PD-L1; cluster of differentiation 274; CD274), with potential immune checkpoint inhibitory and antineoplastic activities. Upon oral administration, PD-L1 inhibitor AN4005 specifically targets and binds to PD-L1 expressed on tumor cells, thereby preventing the binding of PD-L1 to and subsequent activation of its receptor programmed cell death 1 (PD-1; PDCD1; CD279; programmed death-1). This reverses T-cell inactivation caused by PD-L1/PD-1 signaling, increases T-cell expansion and enhances the cytotoxic T-lymphocyte (CTL)-mediated anti-tumor immune response against PD-L1-expressing tumor cells. PD-L1, a transmembrane protein expressed on activated T-cells, is overexpressed in some cancer types and plays a significant role in immune evasion by tumor cells."	
"DRUG-007771"		"curated"	"ASKB589"	"Anti-claudin18.2 Monoclonal Antibody ASKB589#Anti-claudin 18.2 Monoclonal Antibody ASKB589#ASKB 589#ASKB-589#ASKB589"	"clinical"	"CLDN18.2"	"C179328"	"A monoclonal antibody directed against the tumor-associated antigen (TAA) Claudin18.2 (CLDN18.2; A2 isoform of claudin-18), with potential immunostimulating and antineoplastic activities. Upon administration, anti-claudin18.2 monoclonal antibody ASKB589 specifically targets, binds to and inhibits CLDN18.2 expressed on tumor cells. This may kill CLDN18.2-expressing tumor cells and inhibit cell proliferation. CLDN18.2, a tight junction protein and stomach-specific isoform of claudin-18, is expressed on a variety of tumor cells, but its expression in healthy tissues is strictly confined to short-lived differentiated epithelial cells of the gastric mucosa."	
"DRUG-001018"		"curated"	"ASP1650"	"Anti-Claudin 6 Monoclonal Antibody ASP1650#ASP 1650#ASP-1650#ASP1650#IMAB027"	"clinical"	"CLDN6"	"C114286"	"A monoclonal antibody directed against the cell surface protein claudin 6 (CLDN6), with potential immunostimulating and antineoplastic activities. Upon administration, the anti-CLDN6 monoclonal antibody ASP1650 binds to CLDN-6 and may stimulate the immune system to exert both an antibody-dependent cellular cytotoxicity (ADCC) and a complement-dependent cytotoxicity (CDC) mediated immune response against CLDN-6-expressing tumor cells. This may inhibit tumor cell growth. CLDN-6, a tight-junction protein and embryonic antigen, is expressed on a variety of tumor cells but is not expressed on normal, healthy adult cells."	
"DRUG-008408"		"curated"	"AZD8205"	"Anti-B7-H4/ TOP1i Antibody-drug Conjugate AZD8205#ADC AZD8205#Anti-B7-H4/TOP1i ADC AZD8205#Anti-B7-H4/Topoisomerase I Inhibitor ADC AZD8205#Antibody-drug Conjugate AZD8205#AZD 8205#AZD-8205#AZD8205#B7-H4 TOP1i ADC AZD8205"	"clinical"	"VTCN1"	"C185401"	"An antibody-drug conjugate (ADC) composed of a monoclonal antibody directed against B7-H4 (V-set domain-containing T-cell activation inhibitor 1; VTCN1; B7x; B7S1) linked to a topoisomerase-1 inhibitor (TOP1i; TOP-Ii), with potential antineoplastic activity. Upon administration, the anti-B7-H4 monoclonal antibody moiety of ADC AZD8205 targets and binds to B7-H4 expressed on tumor cells. Upon binding and internalization, the TOP1i moiety is released, binds to TOP1 and stabilizes cleaved DNA-TOP1 complexes. This prevents DNA re-ligation, induces irreversible DNA strand breaks, prevents DNA repair, and leads to cycle arrest and apoptosis specifically in tumor cells expressing B7-H4. B7-H4, a member of the B7 family of immune modulators, is upregulated in a variety of tumor cell types and tumor-associated macrophages. It negatively regulates T-cell immune responses."	
"DRUG-009003"		"curated"	"Abagovomab"	"Monoclonal Antibody ACA125 Anti-Idiotype Vaccine#VaccinOvar"	"clinical"	"MUC16"	"C26449"	"A murine IgG1 monoclonal anti-idiotype antibody, containing a variable antigen-binding region that functionally mimics the three-dimensional structure of a specific epitope on the ovarian cancer tumor-associated antigen CA-125, with potential antineoplastic activity. With a variable antigen-binding region that acts as a surrogate antigen for CA-125, abagovomab may stimulate the host immune system to elicit humoral and cellular immune responses against CA-125-positive tumor cells, resulting in inhibition of tumor cell proliferation."	
"DRUG-009261"		"curated"	"Abatacept"	"BMS-188667#CTL A4-Ig B7 Inhibitor#CTLA4-Ig#cytotoxic T lymphocyte-associated antigen-4#Orencia#RG2077"	"clinical"	"CTLA4"	"C28898"	"A soluble fusion protein consisting of the extracellular domain of human cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) linked to a modified Fc (hinge, CH2, and CH3 domains) portion of human immunoglobulin G1 (IgG1) with immunosuppressive activity. Abatacept binds CD80 and CD86 on antigen presenting cells (APCs), blocking interaction with CD28 on T lymphocytes, which initiates a co-stimulatory signal required for full activation of T lymphocytes."	"L04AA24"
"DRUG-000006"		"curated"	"Abciximab"	"Chimeric 7E3 Fab#MoAb 7E3#ReoPro"	"clinical"		"C76128"	"A Fab fragment of the chimeric monoclonal antibody 7E3 and inhibitor of the glycoprotein (GP) IIb/IIIa receptor, that blocks platelet aggregation. Abciximab binds to the GP IIb/IIIa receptor on the platelet membrane, which inhibits the binding of fibrinogen to the GP IIb/IIIa receptor. This prevents both platelet aggregation and thrombus formation."	"B01AC13"
"DRUG-000246"		"curated"	"Abemaciclib"	"LY-2835219#LY2835219#Verzenio"	"clinical"	"CDK4#CDK6"	"C97660"	"An orally available cyclin-dependent kinase (CDK) inhibitor that targets the CDK4 (cyclin D1) and CDK6 (cyclin D3) cell cycle pathway, with potential antineoplastic activity. Abemaciclib specifically inhibits CDK4 and 6, thereby inhibiting retinoblastoma (Rb) protein phosphorylation in early G1. Inhibition of Rb phosphorylation prevents CDK-mediated G1-S phase transition, thereby arresting the cell cycle in the G1 phase, suppressing DNA synthesis and inhibiting cancer cell growth. Overexpression of the serine/threonine kinases CDK4/6, as seen in certain types of cancer, causes cell cycle deregulation."	"L01EF03"
"DRUG-000247"		"curated"	"Abexinostat"	"CRA-024781#HDAC Inhibitor PCI-24781#PCI-24781"	"clinical"		"C68920"	"An orally bioavailable hydroxamate-based pan-inhibitor of histone deacetylase (HDAC), with potential antineoplastic and radiosensitizing activities. Upon administration, abexinostat inhibits HDAC, resulting in an accumulation of highly acetylated histones, followed by the induction of chromatin remodeling; the selective transcription of tumor suppressor genes; and the tumor suppressor protein-mediated inhibition of tumor cell division and induction of tumor cell apoptosis. In addition, abexinostat decreases the expression of the DNA-repair protein RAD51, thereby reducing the RAD51 protein, preventing repair of DNA double-strand breaks and increasing sensitivity of tumor cells to DNA damaging agents. HDAC, upregulated in many tumor types, is an enzyme that is responsible for the deacetylation of chromatin histone proteins."	
"DRUG-000007"		"curated"	"Abiraterone"	"abiraterone acetate#Abiraterone Decanoate#BR9004#BR9004-1#CB 7598#CB7630#JNJ-212082#Yonsa#Zytiga"	"clinical"	"CYP17A1"	"C77333"	"A steroidal compound with antiandrogen activity. Abiraterone inhibits the enzymatic activity of steroid 17alpha-monooxygenase (17alpha-hydrolase/C17,20 lyase complex; CYP17A1), a member of the cytochrome p450 family that catalyzes the 17alpha-hydroxylation of steroid intermediates involved in testosterone synthesis. Administration of this agent may suppress testosterone production by both the testes and the adrenals to castrate-range levels."	"L02BX03"
"DRUG-000248"		"curated"	"Acalabrutinib"	"ACP-196#Bruton Tyrosine Kinase Inhibitor ACP-196#Calquence"	"clinical"	"BTK"	"C113442"	"An orally available inhibitor of Bruton's tyrosine kinase (BTK) with potential antineoplastic activity. Upon administration, acalabrutinib inhibits the activity of BTK and prevents the activation of the B-cell antigen receptor (BCR) signaling pathway. This prevents both B-cell activation and BTK-mediated activation of downstream survival pathways. This leads to an inhibition of the growth of malignant B cells that overexpress BTK. BTK, a member of the src-related BTK/Tec family of cytoplasmic tyrosine kinases, is overexpressed in B-cell malignancies; it plays an important role in B lymphocyte development, activation, signaling, proliferation and survival."	"L01EL02"
"DRUG-007157"		"curated"	"Acapatamab"	"AMG 160#AMG-160#AMG160#Anti-PSMA/CD3 Bispecific T-cell Engager Antibody AMG 160#Anti-PSMA/CD3 BiTE Antibody AMG 160#Bispecific T-cell Engager Antibody AMG 160#BITE AMG 160#Half-life Extended Bispecific T-cell Engager Antibody AMG 160#HLE-BiTE AMG 160"	"clinical"	"FOLH1"	"C175736"	"A half-life extended (HLE), bispecific T-cell engager (BiTE) antibody composed of two single-chain variable fragments (scFv), one directed against the tumor-associated antigen (TAA) human prostate-specific membrane antigen (PSMA), fused to one that is directed against the CD3 antigen found on T-lymphocytes, with potential immunostimulating and antineoplastic activities. Upon administration acapatamab binds to both CD3 on cytotoxic T-lymphocytes (CTLs) and PSMA found on PSMA-expressing tumor cells. This activates and redirects CTLs to PSMA-expressing tumor cells, which results in the CTL-mediated cell death of PSMA-expressing tumor cells. PSMA, a tumor associated antigen, is overexpressed on the surface of metastatic and hormone-refractory prostate cancer cells."	
"DRUG-006268"		"curated"	"Acasunlimab"	"Anti-PD-L1/Anti-4-1BB Bispecific Monoclonal Antibody GEN1046#BNT 311#DuoBody PD-L1 x 4-1BB GEN1046#GEN 1046#GEN-1046#GEN1046"	"clinical"	"CD274"	"C172194"	"A recombinant, Fc-silenced immunoglobulin G1 (IgG1) bispecific antibody targeting both the human programmed death-ligand 1 (PD-L1) and 4-1BB (CD137; tumor necrosis factor receptor superfamily member 9; TNFRSF9), with potential checkpoint inhibitory, immunostimulating and antineoplastic activities. Upon administration, acasunlimab simultaneously targets and binds to 4-1BB, which is expressed on a variety of leukocyte subsets including activated T-lymphocytes, and PD-L1 expressed on tumor cells. Through 4-1BB binding, acasunlimab acts as a conditional 4-1BB agonist, resulting in T-cell co-stimulation and enhances T-lymphocyte-mediated anti-tumor activity. At the same time, acasunlimab prevents PD-L1 from binding to and activating its receptor, programmed cell death 1 (PD-1; PDCD1; CD279; programmed death-1). This abrogates T-cell inhibition, activates antigen-specific T-lymphocytes and enhances cytotoxic T-cell-mediated tumor cell lysis, which may lead to a reduction in tumor growth. PD-L1 binding to PD-1 on activated T-cells inhibits the expansion and survival of CD8-positive T-cells, suppresses the immune system and results in immune evasion. 4-1BB, a surface glycoprotein of the tumor necrosis factor receptor superfamily, is an inducible costimulatory receptor that plays a key role in T-cell proliferation, survival and cytolytic activity."	
"DRUG-000008"		"curated"	"Acetaminophen"	"4-Hydroxyacetanilide#APAP#Paracetamol#Tylenol"	"clinical"		"C198"	"A p-aminophenol derivative with analgesic and antipyretic activities. Although the exact mechanism through which acetaminophen exert its effects has yet to be fully determined, acetaminophen may inhibit the nitric oxide (NO) pathway mediated by a variety of neurotransmitter receptors including N-methyl-D-aspartate (NMDA) and substance P, resulting in elevation of the pain threshold. The antipyretic activity may result from inhibition of prostaglandin synthesis and release in the central nervous system (CNS) and prostaglandin-mediated effects on the heat-regulating center in the anterior hypothalamus."	"N02BE01"
"DRUG-000181"		"curated"	"Aclarubicin"	"Aclacin#Aclacinomycin#Aclacinomycin A#Aclacinomycin A hydrochloride#Aclacinomycin-A#Aclacinomycine#Aclacinon#Aclaplastin#Aclarubicin Hydrochloride#ACM-A#Antibiotic MA144-A1#Jaclacin#MA144-A1"	"clinical"		"C202"	"An oligosaccharide anthracycline antineoplastic antibiotic isolated from the bacterium Streptomyces galilaeus. Aclarubicin intercalates into DNA and interacts with topoisomerases I and II, thereby inhibiting DNA replication and repair and RNA and protein synthesis. Aclarubicin is antagonistic to other agents that inhibit topoisomerase II, such as etoposide, teniposide and amsacrine. This agent is less cardiotoxic than doxorubicin and daunorubicin."	"L01DB04"
"DRUG-000004"		"curated"	"Pazopanib"	"GW786034#GW786034B#pazopanib hydrochloride#Votrient"	"clinical"	"KIT"	"C74547"	"A small molecule inhibitor of multiple protein tyrosine kinases with potential antineoplastic activity. Pazopanib selectively inhibits vascular endothelial growth factor receptors (VEGFR)-1, -2 and -3, c-kit and platelet derived growth factor receptor (PDGF-R), which may result in inhibition of angiogenesis in tumors in which these receptors are upregulated."	"L01EX03"
"DRUG-000009"		"curated"	"Actinium Ac 225 Lintuzumab"	"225Ac-HuM195#Actinium-225-Labeled Humanized Anti-CD33 Monoclonal Antibody HuM195#LINTUZUMAB SATETRAXETAN AC-225#SGN-33 AC-225"	"clinical"		"C82414"	"A radioimmunoconjugate consisting of the humanized monoclonal antibody lintuzumab conjugated to the alpha-emitting radioisotope actinium Ac 225 with potential antineoplastic activity. The monoclonal antibody moiety of actinium Ac 225 lintuzumab specifically binds to the cell surface antigen CD33 antigen, delivering a cytotoxic dose of alpha radiation to cells expressing CD33. CD33 is a cell surface antigen expressed on normal non-pluripotent hematopoietic stem cells and overexpressed on myeloid leukemia cells."	"0000000"
