"id"	"newId"	"status"	"name"	"synonyms"	"id@ncit"	"def@ncit"
"DRUG-009003"		"ok"	"Abagovomab"	"Monoclonal Antibody ACA125 Anti-Idiotype Vaccine#VaccinOvar"	"C26449"	"A murine IgG1 monoclonal anti-idiotype antibody, containing a variable antigen-binding region that functionally mimics the three-dimensional structure of a specific epitope on the ovarian cancer tumor-associated antigen CA-125, with potential antineoplastic activity. With a variable antigen-binding region that acts as a surrogate antigen for CA-125, abagovomab may stimulate the host immune system to elicit humoral and cellular immune responses against CA-125-positive tumor cells, resulting in inhibition of tumor cell proliferation."
"DRUG-000006"		"ok"	"Abciximab"	"Chimeric 7E3 Fab#MoAb 7E3#ReoPro"	"C76128"	"A Fab fragment of the chimeric monoclonal antibody 7E3 and inhibitor of the glycoprotein (GP) IIb/IIIa receptor, that blocks platelet aggregation. Abciximab binds to the GP IIb/IIIa receptor on the platelet membrane, which inhibits the binding of fibrinogen to the GP IIb/IIIa receptor. This prevents both platelet aggregation and thrombus formation."
"DRUG-000246"		"ok"	"Abemaciclib"	"LY-2835219#LY2835219#Verzenio"	"C97660"	"An orally available cyclin-dependent kinase (CDK) inhibitor that targets the CDK4 (cyclin D1) and CDK6 (cyclin D3) cell cycle pathway, with potential antineoplastic activity. Abemaciclib specifically inhibits CDK4 and 6, thereby inhibiting retinoblastoma (Rb) protein phosphorylation in early G1. Inhibition of Rb phosphorylation prevents CDK-mediated G1-S phase transition, thereby arresting the cell cycle in the G1 phase, suppressing DNA synthesis and inhibiting cancer cell growth. Overexpression of the serine/threonine kinases CDK4/6, as seen in certain types of cancer, causes cell cycle deregulation."
"DRUG-000247"		"ok"	"Abexinostat"	"CRA-024781#HDAC Inhibitor PCI-24781#PCI-24781"	"C68920"	"An orally bioavailable hydroxamate-based pan-inhibitor of histone deacetylase (HDAC), with potential antineoplastic and radiosensitizing activities. Upon administration, abexinostat inhibits HDAC, resulting in an accumulation of highly acetylated histones, followed by the induction of chromatin remodeling; the selective transcription of tumor suppressor genes; and the tumor suppressor protein-mediated inhibition of tumor cell division and induction of tumor cell apoptosis. In addition, abexinostat decreases the expression of the DNA-repair protein RAD51, thereby reducing the RAD51 protein, preventing repair of DNA double-strand breaks and increasing sensitivity of tumor cells to DNA damaging agents. HDAC, upregulated in many tumor types, is an enzyme that is responsible for the deacetylation of chromatin histone proteins."
"DRUG-000007"		"ok"	"Abiraterone"	"abiraterone acetate#Abiraterone Decanoate#BR9004#BR9004-1#CB 7598#CB7630#JNJ-212082#Yonsa#Zytiga"	"C77333"	"A steroidal compound with antiandrogen activity. Abiraterone inhibits the enzymatic activity of steroid 17alpha-monooxygenase (17alpha-hydrolase/C17,20 lyase complex; CYP17A1), a member of the cytochrome p450 family that catalyzes the 17alpha-hydroxylation of steroid intermediates involved in testosterone synthesis. Administration of this agent may suppress testosterone production by both the testes and the adrenals to castrate-range levels."
"DRUG-000248"		"ok"	"Acalabrutinib"	"ACP-196#Bruton Tyrosine Kinase Inhibitor ACP-196#Calquence"	"C113442"	"An orally available inhibitor of Bruton's tyrosine kinase (BTK) with potential antineoplastic activity. Upon administration, acalabrutinib inhibits the activity of BTK and prevents the activation of the B-cell antigen receptor (BCR) signaling pathway. This prevents both B-cell activation and BTK-mediated activation of downstream survival pathways. This leads to an inhibition of the growth of malignant B cells that overexpress BTK. BTK, a member of the src-related BTK/Tec family of cytoplasmic tyrosine kinases, is overexpressed in B-cell malignancies; it plays an important role in B lymphocyte development, activation, signaling, proliferation and survival."
"DRUG-007157"		"ok"	"Acapatamab"	"AMG-160#AMG 160#AMG160#Anti-PSMA/CD3 Bispecific T-cell Engager Antibody AMG 160#Anti-PSMA/CD3 BiTE Antibody AMG 160#Bispecific T-cell Engager Antibody AMG 160#BITE AMG 160#Half-life Extended Bispecific T-cell Engager Antibody AMG 160#HLE-BiTE AMG 160"	"C175736"	"A half-life extended (HLE), bispecific T-cell engager (BiTE) antibody composed of two single-chain variable fragments (scFv), one directed against the tumor-associated antigen (TAA) human prostate-specific membrane antigen (PSMA), fused to one that is directed against the CD3 antigen found on T-lymphocytes, with potential immunostimulating and antineoplastic activities. Upon administration acapatamab binds to both CD3 on cytotoxic T-lymphocytes (CTLs) and PSMA found on PSMA-expressing tumor cells. This activates and redirects CTLs to PSMA-expressing tumor cells, which results in the CTL-mediated cell death of PSMA-expressing tumor cells. PSMA, a tumor associated antigen, is overexpressed on the surface of metastatic and hormone-refractory prostate cancer cells."
"DRUG-000008"		"ok"	"Acetaminophen"	"4-Hydroxyacetanilide#APAP#Paracetamol#Tylenol"	"C198"	"A p-aminophenol derivative with analgesic and antipyretic activities. Although the exact mechanism through which acetaminophen exert its effects has yet to be fully determined, acetaminophen may inhibit the nitric oxide (NO) pathway mediated by a variety of neurotransmitter receptors including N-methyl-D-aspartate (NMDA) and substance P, resulting in elevation of the pain threshold. The antipyretic activity may result from inhibition of prostaglandin synthesis and release in the central nervous system (CNS) and prostaglandin-mediated effects on the heat-regulating center in the anterior hypothalamus."
"DRUG-000181"		"ok"	"Aclarubicin"	"Aclacin#Aclacinomycin#Aclacinomycin-A#Aclacinomycin A#Aclacinomycin A hydrochloride#Aclacinomycine#Aclacinon#Aclaplastin#Aclarubicin Hydrochloride#ACM-A#Antibiotic MA144-A1#Jaclacin#MA144-A1"	"C202"	"An oligosaccharide anthracycline antineoplastic antibiotic isolated from the bacterium Streptomyces galilaeus. Aclarubicin intercalates into DNA and interacts with topoisomerases I and II, thereby inhibiting DNA replication and repair and RNA and protein synthesis. Aclarubicin is antagonistic to other agents that inhibit topoisomerase II, such as etoposide, teniposide and amsacrine. This agent is less cardiotoxic than doxorubicin and daunorubicin."
"DRUG-000009"		"ok"	"Actinium Ac 225 Lintuzumab"	"225Ac-HuM195#Actinium-225-Labeled Humanized Anti-CD33 Monoclonal Antibody HuM195#LINTUZUMAB SATETRAXETAN AC-225#SGN-33 AC-225"	"C82414"	"A radioimmunoconjugate consisting of the humanized monoclonal antibody lintuzumab conjugated to the alpha-emitting radioisotope actinium Ac 225 with potential antineoplastic activity. The monoclonal antibody moiety of actinium Ac 225 lintuzumab specifically binds to the cell surface antigen CD33 antigen, delivering a cytotoxic dose of alpha radiation to cells expressing CD33. CD33 is a cell surface antigen expressed on normal non-pluripotent hematopoietic stem cells and overexpressed on myeloid leukemia cells."
"DRUG-000182"		"ok"	"Acyclovir"	"Acicloftal#Aciclovir#Aclovir#ACV#Acycloguanosine#Acyclovir Sodium#BW-248U#Cargosil#Virorax#Wellcome-248U#Zovirax#Zovirax for Injection"	"C205"	"A synthetic analog of the purine nucleoside, guanosine, with potent antiviral activity against herpes simplex viruses type 1 and 2, varicella-zoster virus and other viruses of the herpesvirus family. After conversion in vivo to the active metabolite acyclovir triphosphate by viral thymidine kinase, acyclovir competitively inhibits viral DNA polymerase by incorporating into the growing viral DNA chain and terminating further polymerization."
"DRUG-000215"		"ok"	"Adagrasib"	"KRAS G12C Inhibitor MRTX849#MRTX-849#MRTX 849#MRTX849"	"C157493"	"An orally available, small molecule inhibitor that targets the oncogenic KRAS substitution mutation, G12C, with potential antineoplastic activity. Upon oral administration adagrasib covalently binds to cytosine 12 within the switch II pocket of GDP-bound KRAS G12C, thereby inhibiting mutant KRAS-dependent signaling. KRAS, a member of the RAS family of oncogenes, serves an important role in cell signaling, division and differentiation. Mutations of KRAS may induce constitutive signal transduction leading to tumor cell growth, proliferation, invasion, and metastasis."
"DRUG-000010"		"ok"	"Adavosertib"	"AZD-1775#AZD1775#MK-1775#MK1775"	"C91725"	"A small molecule inhibitor of the tyrosine kinase WEE1 with potential antineoplastic sensitizing activity. Adavosertib selectively targets and inhibits WEE1, a tyrosine kinase that phosphorylates cyclin-dependent kinase 1 (CDK1, CDC2) to inactivate the CDC2/cyclin B complex. Inhibition of WEE1 activity prevents the phosphorylation of CDC2 and impairs the G2 DNA damage checkpoint. This may lead to apoptosis upon treatment with DNA damaging chemotherapeutic agents. Unlike normal cells, most p53 deficient or mutated human cancers lack the G1 checkpoint as p53 is the key regulator of the G1 checkpoint and these cells rely on the G2 checkpoint for DNA repair to damaged cells. Annulment of the G2 checkpoint may therefore make p53 deficient tumor cells more vulnerable to antineoplastic agents and enhance their cytotoxic effect."
"DRUG-000249"		"ok"	"Afatinib"	"Afatinib Dimaleate#BIBW 2992#BIBW 2992MA2#BIBW2992#BIBW2992 MA2#Gilotrif"	"C66940"	"An orally bioavailable anilino-quinazoline derivative and inhibitor of the receptor tyrosine kinase (RTK) epidermal growth factor receptor (ErbB; EGFR) family, with antineoplastic activity. Upon administration, afatinib selectively and irreversibly binds to and inhibits the epidermal growth factor receptors 1 (ErbB1; EGFR), 2 (ErbB2; HER2), and 4 (ErbB4; HER4), and certain EGFR mutants, including those caused by EGFR exon 19 deletion mutations or exon 21 (L858R) mutations. This may result in the inhibition of tumor growth and angiogenesis in tumor cells overexpressing these RTKs. Additionally, afatinib inhibits the EGFR T790M gatekeeper mutation which is resistant to treatment with first-generation EGFR inhibitors. EGFR, HER2 and HER4 are RTKs that belong to the EGFR superfamily; they play major roles in both tumor cell proliferation and tumor vascularization and are overexpressed in many cancer cell types."
"DRUG-000250"		"ok"	"Afuresertib"	"GSK2110183"	"C82390"	"An orally bioavailable inhibitor of the serine/threonine protein kinase Akt (protein kinase B) with potential antineoplastic activity. Afuresertib binds to and inhibits the activity of Akt, which may result in inhibition of the PI3K/Akt signaling pathway and tumor cell proliferation and the induction of tumor cell apoptosis. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-017752"		"ok"	"Akt Inhibitor LY2780301"	"LY2780301"	"C95737"	"An orally bioavailable inhibitor of the serine/threonine protein kinase Akt (protein kinase B) with potential antineoplastic activity. Akt inhibitor LY2780301 binds to and inhibits the activity of Akt, which may result in inhibition of the PI3K/Akt signaling pathway, thereby leading to inhibition of cell proliferation and the induction of apoptosis in tumor cells. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-017076"		"ok"	"Akt Inhibitor MK2206"	"MK-2206#MK-2206 FREE BASE#MK 2206#MK2206"	"C90581"	"An orally bioavailable allosteric inhibitor of the serine/threonine protein kinase Akt (protein kinase B) with potential antineoplastic activity. Akt inhibitor MK2206 binds to and inhibits the activity of Akt in a non-ATP competitive manner, which may result in the inhibition of the PI3K/Akt signaling pathway and tumor cell proliferation and the induction of tumor cell apoptosis. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-016538"		"ok"	"Akt Inhibitor SR13668"	"SRI13668"	"C85448"	"An orally bioavailable indole-3-carbinol (I3C) analogue inhibitor of the serine/threonine protein kinase Akt (protein kinase B) with potential antineoplastic and antiangiogenic activities. Akt inhibitor SR13668 binds to and inhibits the activity of Akt, which may result in inhibition of the PI3K/Akt signaling pathway and tumor cell proliferation, and the induction of tumor cell apoptosis. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-012027"		"ok"	"Aldoxorubicin"	"Aldoxorubicin Hydrochloride#DOXO-EMCH#Doxorubicin-EMCH#INNO-206"	"C68921"	"A 6-maleimidocaproyl hydrazone derivative prodrug of the anthracycline antibiotic doxorubicin (DOXO-EMCH) with antineoplastic activity. Following intravenous administration, aldoxorubicin binds selectively to the cysteine-34 position of albumin via its maleimide moiety. Doxorubicin is released from the albumin carrier after cleavage of the acid-sensitive hydrazone linker within the acidic environment of tumors and, once located intracellularly, intercalates DNA, inhibits DNA synthesis, and induces apoptosis. Albumin tends to accumulate in solid tumors as a result of high metabolic turnover, rapid angiogenesis, hypervasculature, and impaired lymphatic drainage. Because of passive accumulation within tumors, this agent may improve the therapeutic effects of doxorubicin while minimizing systemic toxicity."
"DRUG-000251"		"ok"	"Alectinib"	"AF-802#AF802#Alecensa#ALK Inhibitor RO5424802#CH5424802#RG7853#RO5424802"	"C101790"	"An orally available inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK) with antineoplastic activity. Upon administration, alectinib binds to and inhibits ALK kinase, ALK fusion proteins as well as the gatekeeper mutation ALKL1196M known as one of the mechanisms of acquired resistance to small-molecule kinase inhibitors. The inhibition leads to disruption of ALK-mediated signaling and eventually inhibits tumor cell growth in ALK-overexpressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK dysregulation and gene rearrangements are associated with a series of tumors."
"DRUG-000252"		"ok"	"Alemtuzumab"	"Anti-CD52 Monoclonal Antibody#Campath#Campath-1H#LDP-03#Lemtrada#MabCampath#Monoclonal Antibody Campath-1H"	"C1681"	"A recombinant DNA-derived humanized monoclonal antibody directed against the cell surface glycoprotein, CD52. Alemtuzumab is an IgG1 kappa with human variable framework and constant regions, and complementarity-determining regions derived from a rat monoclonal antibody. This agent selectively binds to CD52, thereby triggering a host immune response that results in lysis of CD52 + cells. CD52 is a glycoprotein expressed on the surface of essentially all normal and malignant B and T cells, a majority of monocytes, macrophages and natural killer (NK) cells, a subpopulation of granulocytes, and tissues of the male reproductive system. (NCI04)"
"DRUG-000011"		"ok"	"Alendronic Acid"	"Adronat#Alendronate#alendronate sodium#Alendronic Acid Monosodium Salt Trihydrate#Alendros#Binosto#Fosamax#G-704650#MK-217#Onclast"	"C61625"	"A second generation bisphosphonate and synthetic analog of pyrophosphate with anti-bone-resorption activity. Alendronic acid binds to and inhibits the activity of farnesyl pyrophosphate synthetase, an enzyme involved in terpenoid biosynthesis. Inhibition of this enzyme prevents the biosynthesis of isoprenoid lipids, donor substrates of farnesylation and geranylgeranylation during the post-translational modification of small GTPase signalling proteins, which are important in the process of osteoclast turnover. As a result, bone resorption and turnover are reduced."
"DRUG-000474"		"ok"	"Alisertib"	"Aurora A Kinase Inhibitor MLN8237#MLN-8237#MLN8237"	"C71717"	"A second-generation, orally bioavailable, highly selective small molecule inhibitor of the serine/threonine protein kinase Aurora A kinase with potential antineoplastic activity. Alisertib binds to and inhibits Aurora A kinase, which may result in disruption of the assembly of the mitotic spindle apparatus, disruption of chromosome segregation, and inhibition of cell proliferation. Aurora A kinase localizes to the spindle poles and to spindle microtubules during mitosis, and is thought to regulate spindle assembly. Aberrant expression of Aurora kinases occurs in a wide variety of cancers, including colon and breast cancers."
"DRUG-000012"		"ok"	"Allopurinol"	"Adenock#Allo-Puren#Allopurinol Sodium#Allozym#Allural#Aloprim#Aloral#Alositol#Anoprolin#Anzief#Apulonga#Apurin#Apurol#Bleminol#Bloxanth#BW-56158#BW 56158#Caplenal#Cellidrin#Cosuric#Dabroson#Embarin#Epidropal#Foligan#Geapur#Gichtex#Hamarin#Hexanurat#Ketanrift#Ketobun-A#Ledopur#Lopurin#Lysuron#Miniplanor#Monarch#Nektrohan#Remid#Riball#Sigapurol#Sodium allopurinol#Suspendol#Takanarumin#Urbol#Uricemil#Uripurinol#Urosin#Urtias#Xanturat#Zurinol#Zyloprim#Zyloric"	"C224"	"A structural isomer of hypoxanthine. Allopurinol inhibits xanthine oxidase, an enzyme that converts oxypurines to uric acid. By blocking the production of uric acid, this agent decreases serum and urine concentrations of uric acid, thereby providing protection against uric acid-mediated end organ damage in conditions associated with excessive production of uric acid, i.e. the massive cell lysis associated with the treatment of some malignancies. (NCI04)"
"DRUG-000253"		"ok"	"Alpelisib"	"BYL719|Phosphoinositide 3-kinase Inhibitor BYL719|Piqray|VIJOICE"	"C94214"	"An orally bioavailable phosphatidylinositol 3-kinase (PI3K) inhibitor with potential antineoplastic activity. Alpelisib specifically inhibits PI3K in the PI3K/AKT kinase (or protein kinase B) signaling pathway, thereby inhibiting the activation of the PI3K signaling pathway. This may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents."
"DRUG-000013"		"ok"	"Alprazolam"	"Apo-Alpzar#Nu-Alpraz#Xanax"	"C227"	"A triazolobenzodiazepine agent with anxiolytic, sedative-hypnotic and anticonvulsant activities. Alprazolam binds to a specific site distinct from the inhibitory neurotransmitter gamma-aminobutyric acid (GABA) binding site on the benzodiazepine-GABA-A-chloride ionophore receptor complex located in the limbic, thalamic and hypothalamic regions of the central nervous system (CNS). This binding causes an allosteric modification of the receptor and enhances the affinity of GABA to the receptor leading to an increase in the frequency of chloride-channel opening events. This leads to an increase in chloride ion conductance, neuronal hyperpolarization, inhibition of the action potential and leads to a decrease in neuronal excitability."
"DRUG-000254"		"ok"	"Altretamine"	"ENT-50852#ENT 50852#Hemel#Hexalen#Hexaloids#Hexamethylamine#Hexamethylmelamine#Hexastat#Hexinawas#HMM#HXM#RB-1515#WR-95704"	"C544"	"A synthetic cytotoxic s-triazine derivative similar in structure to alkylating agent triethylenemelamin with antineoplastic activity.  Although the precise mechanism by which altretamine exerts its cytotoxic effect is unknown, N-demethylation of altretamine may produce reactive intermediates which covalently bind to DNA, resulting in DNA damage. (NCI04)"
"DRUG-000255"		"ok"	"Alvocidib"	"Alvocidib Freebase#Alvocidib Hydrochloride#flavopiridol#Flavopiridol Hydrochloride#HL-275#HMR 1275#L-86-8275#L-868275#MDL-107826A"	"C74940"	"The free base form of a synthetic N-methylpiperidinyl chlorophenyl flavone compound. As an inhibitor of cyclin-dependent kinase, alvocidib induces cell cycle arrest by preventing phosphorylation of cyclin-dependent kinases (CDKs) and by down-regulating cyclin D1 and D3 expression, resulting in G1 cell cycle arrest and apoptosis. This agent is also a competitive inhibitor of adenosine triphosphate activity."
"DRUG-000256"		"ok"	"Amatuximab"	"anti-mesothelin monoclonal antibody MORAb-009#MORAb-009"	"C62483"	"A chimeric IgG1 monoclonal antibody against human mesothelin with potential anti-tumor activity. Amatuximab specifically targets mesothelin, a cell surface glycoprotein involved in cell adhesion and overexpressed on many epithelial-derived cancer cells. Upon binding to the mesothelin antigen, amatuximab triggers an antibody dependent cellular cytotoxicity (ADCC)-mediated host immune response against mesothelin-expressing cells, resulting in cell lysis."
"DRUG-000014"		"ok"	"Amifostine"	"Amifostine Trihydrate#Aminopropylaminoethylthiophosphoric Acid Trihydrate#APAETP#Cytofos#Ethiofos#Ethyol#Gammaphos#WR-2721#WR 2721#WR2721#YM-08310"	"C488"	"The trihydrate form of a phosphorylated aminosulfhydryl compound. After dephosphorylation of amifostine by alkaline phosphatase to an active free sulfhydryl (thiol) metabolite, the thiol metabolite binds to and detoxifies cytotoxic platinum-containing metabolites of cisplatin and scavenges free radicals induced by cisplatin and ionizing radiation. The elevated activity of this agent in normal tissues results from both the relative abundance of alkaline phosphatase in normal tissues and the greater vascularity of normal tissues compared to tumor tissues."
"DRUG-000257"		"ok"	"Aminoglutethimide"	"Aminoblastin#Ba-16038#Cytadren#Elipten#Mamomit#Orimenten#Orimeten#Orimetene#Rodazol"	"C233"	"A synthetic derivative of the sedative and anticonvulsant glutethimide with anti-steroid properties.  Originally used as an anticonvulsant, aminoglutethimide also blocks adrenal steroidogenesis by inhibiting the enzymatic conversion of cholesterol to pregnenolone.  In addition, this agent blocks the peripheral aromatization of androgenic precursors to estrogens.  Aminoglutethimide does not suppress ovarian estrogen production."
"DRUG-000192"		"ok"	"Aminopterin"	"4-Amino-PGA#4-Aminofolic acid#4-Aminopteroylglutamic acid#Aminopterin Sodium#Aminopteroylglutamic Acid#APGA#Sodium Aminopterin"	"C235"	"A synthetic derivative of pterins with antineoplastic and immunosuppressive properties.  As a folate analogue, aminopterin competes for the folate binding site of the enzyme dihydrofolate reductase, thereby blocking tetrahydrofolate synthesis, and resulting in depletion of nucleotide precursors and inhibition of DNA, RNA and protein synthesis. (NCI04)"
"DRUG-001755"		"ok"	"Amivantamab"	"Amivantamab-vmjw#Anti-EGFR/c-Met Bispecific Antibody JNJ-61186372#CNTO-4424#JNJ-611#JNJ-61186372#JNJ61186372#Rybrevant"	"C124993"	"A human bispecific antibody targeting both epidermal growth factor receptor EGFR and hepatocyte growth factor receptor (HGFR; cMet), with potential antineoplastic activity. Upon administration, amivantamab simultaneously targets and binds to wild-type or certain mutant forms of both EGFR and cMet expressed on cancer cells, thereby preventing receptor phosphorylation. This prevents the activation of both EGFR- and cMet-mediated signaling pathways. In addition, binding results in receptor degradation, which further inhibits EGFR- and cMet-mediated signaling. JNJ-61186372 also causes antibody-dependent cellular cytotoxicity (ADCC). Altogether, this results in the inhibition of tumor cell proliferation. EGFR and cMet, both upregulated or mutated in a variety of tumor cell types, play key roles in tumor cell proliferation."
